No,Name,Number,Email,Gender,Age,Education,Technology,Place,Mode,Skills,Experience,Current Position,Linkedin Link,Github Link,Resume
1,Jordan Weaver,+1-680-816-2679x8264,michael86@gmail.com,Male,41,B.Sc,Machine Learning,Kolkata,Remote,"Django, Docker, SQL",5+ years,Software Engineer,https://www.thomas.biz/,http://lawrence-herrera.com/,resume_1.pdf
2,Mercedes Little,0374447103,danielpark@yahoo.com,Female,30,B.Sc,Data Science,Chennai,On-Site,"Flask, Docker, AWS",3 years,Frontend Developer,https://www.carpenter-davis.net/,http://bright.net/,resume_2.pdf
3,Kevin Newman,+1-355-777-8098x78260,hortonapril@yahoo.com,Male,38,B.Sc,JavaScript,Kolkata,Remote,"Flask, Kubernetes, React",5+ years,Software Engineer,https://www.francis-walker.org/,https://carpenter.com/,resume_3.pdf
4,David Garcia,285-653-4602x03317,paulacannon@yahoo.com,Male,37,M.Sc,Data Science,Bangalore,Remote,"Angular, SQL, TensorFlow",3 years,AI Engineer,http://chavez.net/,https://www.williams.info/,resume_4.pdf
5,Kristina Maddox,532.106.1614,malonenathan@kidd.biz,Other,22,M.Sc,Python,Hyderabad,Remote,"Docker, React, Angular",2 years,AI Engineer,https://ray.net/,https://avery-morris.org/,resume_5.pdf
6,Rita Werner,(320)141-5143,jeffreyharris@yahoo.com,Other,22,Diploma,Python,Chennai,On-Site,"Docker, TensorFlow, Flask",3 years,System Analyst,http://burton-gray.com/,https://www.barker.com/,resume_6.pdf
7,Dustin Garza,001-302-646-5296x776,steve87@hotmail.com,Male,31,M.Sc,Python,Pune,On-Site,"AWS, TensorFlow, Kubernetes",1 year,System Analyst,https://www.brown-phelps.com/,https://www.lang-white.info/,resume_7.pdf
8,Melissa Spence,238.102.9074x22464,ccarpenter@gmail.com,Female,29,Diploma,Data Science,Pune,On-Site,"TensorFlow, Kubernetes, React",Fresher,System Analyst,https://howell-aguilar.com/,https://morgan.com/,resume_8.pdf
9,Jennifer Adams,232.487.5958x8334,wcunningham@pacheco.org,Other,28,M.Tech,Cyber Security,Ahmedabad,Remote,"Flask, Kubernetes, Django",3 years,Software Engineer,https://www.allen.net/,http://www.mendez.info/,resume_9.pdf
10,Kevin French,(153)327-4675x21706,nathaniel81@gmail.com,Other,39,Diploma,Java,Pune,On-Site,"Angular, Kubernetes, TensorFlow",Fresher,AI Engineer,http://robinson-harrison.com/,https://www.payne-strong.com/,resume_10.pdf
11,Paul Gilmore,(772)527-3885,jtorres@gmail.com,Female,28,PhD,C++,Kolkata,Hybrid,"TensorFlow, Docker, Angular",1 year,Backend Developer,https://haynes.net/,https://gardner.com/,resume_11.pdf
12,Melissa Williams DDS,038.846.9603x3800,eric19@yahoo.com,Female,39,B.Tech,Java,Bangalore,On-Site,"Kubernetes, Django, Flask",3 years,Software Engineer,https://collier.net/,http://clark.info/,resume_12.pdf
13,Andrew Rosario,+1-288-038-2015x0509,mwalter@hotmail.com,Other,25,M.Sc,C++,Bangalore,Hybrid,"Kubernetes, Flask, TensorFlow",1 year,Backend Developer,https://www.schultz.com/,http://www.carter.com/,resume_13.pdf
14,Luke Roberts,(897)671-2542,lcosta@gmail.com,Other,25,B.Tech,Data Science,Ahmedabad,On-Site,"Docker, React, Kubernetes",3 years,Backend Developer,https://www.howell.net/,http://www.warren-carlson.biz/,resume_14.pdf
15,Donna Baker,6900897438,robertsaunders@gmail.com,Other,35,Diploma,Python,Pune,On-Site,"Kubernetes, Django, SQL",1 year,Data Scientist,https://www.li.com/,http://www.austin-perez.info/,resume_15.pdf
16,Bryan Jimenez,580.432.1953,barnesjohn@miller-white.com,Male,45,M.Sc,JavaScript,Ahmedabad,Remote,"Angular, Kubernetes, AWS",Fresher,Data Scientist,https://www.chase.org/,http://www.hughes.net/,resume_16.pdf
17,Donald Edwards,(529)252-2153x55746,frogers@hotmail.com,Female,30,PhD,C++,Kolkata,On-Site,"Docker, Flask, React",Fresher,System Analyst,https://www.salas.com/,https://www.campos.org/,resume_17.pdf
18,Mr. Thomas White,001-468-397-0783,bonniegarcia@gmail.com,Other,38,Diploma,C++,Hyderabad,Hybrid,"TensorFlow, Flask, Django",5+ years,Backend Developer,http://www.morris-castillo.com/,http://www.ramirez-thompson.com/,resume_18.pdf
19,Donna Arnold,+1-026-841-1461,joshuasmith@hotmail.com,Female,31,M.Sc,Java,Pune,On-Site,"SQL, React, Flask",2 years,System Analyst,http://contreras-anderson.biz/,http://baker.com/,resume_19.pdf
20,Matthew Martinez,+1-514-797-2644x815,nsmith@yahoo.com,Female,23,M.Sc,C++,Ahmedabad,Remote,"SQL, Flask, Docker",Fresher,System Analyst,https://howard-martinez.com/,https://castillo.com/,resume_20.pdf
21,Kenneth Sanchez,001-720-382-4003x2172,mcleanmartha@pratt-carrillo.org,Female,34,Diploma,Cyber Security,Hyderabad,Remote,"AWS, Django, React",3 years,Backend Developer,http://butler-lopez.com/,http://www.rhodes.com/,resume_21.pdf
22,Cindy Wright,(169)480-6467x745,webersusan@gmail.com,Other,33,M.Sc,Machine Learning,Hyderabad,Hybrid,"Angular, SQL, TensorFlow",2 years,Frontend Developer,https://cummings-lee.com/,http://www.mcdonald.com/,resume_22.pdf
23,Holly Reid,(645)170-6750,istanton@mcneil.net,Female,44,Diploma,C++,Bangalore,On-Site,"SQL, React, TensorFlow",1 year,Data Scientist,https://rodriguez.com/,https://www.conway.com/,resume_23.pdf
24,Valerie Grimes,459-581-9444x37182,fernandezvanessa@shannon.com,Other,30,B.Tech,C++,Kolkata,On-Site,"Angular, Flask, AWS",3 years,System Analyst,http://www.miller.com/,http://james.com/,resume_24.pdf
25,David Perkins,210-650-5115x03243,sararosario@dunlap.info,Other,24,B.Sc,JavaScript,Hyderabad,On-Site,"Flask, Kubernetes, SQL",5+ years,Backend Developer,http://www.perez-valenzuela.org/,https://cordova.com/,resume_25.pdf
26,Dustin Pacheco,001-330-123-5511x131,townsendalan@conley.com,Male,22,M.Tech,Cloud Computing,Kolkata,On-Site,"Docker, Flask, AWS",1 year,AI Engineer,https://thomas.com/,https://kennedy.com/,resume_26.pdf
27,Caroline Hernandez,+1-079-650-8840x1893,jacobsanchez@gmail.com,Other,30,B.Sc,Machine Learning,Ahmedabad,On-Site,"Docker, Angular, AWS",3 years,System Analyst,https://kelly-simpson.net/,http://watson.org/,resume_27.pdf
28,Shelby Aguilar,338-898-7439x962,wanderson@montgomery.com,Other,28,B.Sc,Cloud Computing,Delhi,On-Site,"Django, React, Docker",2 years,AI Engineer,http://www.johnson.com/,https://torres.com/,resume_28.pdf
29,Amanda Cox,(246)728-5817,matthew94@wood-white.biz,Female,30,B.Tech,Cyber Security,Bangalore,Remote,"Flask, Angular, SQL",3 years,System Analyst,https://white.com/,https://lyons-cobb.org/,resume_29.pdf
30,Anthony Huffman,(921)022-5620,alicia31@gmail.com,Female,27,B.Sc,Java,Hyderabad,Remote,"Angular, TensorFlow, Docker",Fresher,Backend Developer,http://www.norman.com/,http://www.rodriguez.com/,resume_30.pdf
31,Tyler Braun,001-086-634-7259x60171,danielclark@yahoo.com,Female,34,M.Tech,Python,Mumbai,On-Site,"Kubernetes, Angular, Flask",3 years,Backend Developer,http://brewer.com/,http://davis.com/,resume_31.pdf
32,Gabriella Ray,793.708.9484,cody31@white.biz,Other,35,M.Tech,Java,Kolkata,Remote,"Flask, Angular, Docker",1 year,Frontend Developer,https://www.phillips.com/,http://allen.com/,resume_32.pdf
33,Joy Ellison,412-821-0593x546,rhonda44@jones.com,Male,23,B.Sc,Cyber Security,Chennai,Remote,"Flask, Angular, Kubernetes",2 years,Frontend Developer,http://www.perez-wall.com/,https://www.andrews-mcgee.com/,resume_33.pdf
34,Chase Allen,743-477-0964x38900,jennifer86@gmail.com,Other,27,B.Tech,JavaScript,Hyderabad,Remote,"AWS, Flask, Angular",1 year,AI Engineer,http://zamora-whitehead.com/,https://wallace.org/,resume_34.pdf
35,Gregory Summers,(412)954-4601x9610,choisheila@garcia-carroll.info,Female,34,PhD,Python,Kolkata,On-Site,"TensorFlow, Django, SQL",5+ years,System Analyst,http://nelson.biz/,https://carter-olsen.org/,resume_35.pdf
36,David Evans,001-964-993-3979x8066,lbennett@wood.com,Other,30,B.Sc,JavaScript,Hyderabad,On-Site,"Django, AWS, React",Fresher,Software Engineer,http://www.barker.com/,https://www.rice-deleon.com/,resume_36.pdf
37,Peter Armstrong,763-813-3180x7126,iwilliams@yahoo.com,Female,40,M.Sc,Python,Mumbai,Hybrid,"React, TensorFlow, AWS",1 year,System Analyst,https://www.johnson.com/,http://aguilar-mccoy.com/,resume_37.pdf
38,Tiffany Webb,(953)576-7929,christophergibson@hotmail.com,Male,26,B.Sc,Python,Bangalore,Remote,"Flask, Kubernetes, SQL",3 years,System Analyst,https://rodriguez.net/,http://johnson.com/,resume_38.pdf
39,Joseph Morris,929-792-1106x567,kevinchen@hotmail.com,Female,40,B.Tech,Data Science,Bangalore,Hybrid,"Kubernetes, AWS, Flask",5+ years,Frontend Developer,https://www.villarreal.com/,https://www.torres-wallace.info/,resume_39.pdf
40,Patrick Salazar,+1-294-484-2069x3744,ulewis@howard-wall.net,Other,31,B.Tech,Cloud Computing,Delhi,On-Site,"Angular, Docker, Kubernetes",Fresher,System Analyst,http://www.knight-johnson.com/,https://www.lane.com/,resume_40.pdf
41,George Walker,+1-828-520-0600x626,ruizkyle@gmail.com,Male,27,Diploma,Machine Learning,Bangalore,Remote,"Kubernetes, Django, React",3 years,Frontend Developer,https://www.young.com/,http://www.riley.info/,resume_41.pdf
42,Tammy Armstrong,912.656.0186,xjenkins@clark-thomas.org,Other,32,B.Sc,Machine Learning,Chennai,Hybrid,"SQL, Angular, Django",1 year,Software Engineer,http://austin-fields.com/,https://dyer-wells.com/,resume_42.pdf
43,Julia Bradshaw,845-949-3969x9799,yschneider@hotmail.com,Other,39,M.Sc,Machine Learning,Delhi,On-Site,"Django, AWS, TensorFlow",Fresher,Frontend Developer,http://www.hayes-martinez.com/,http://www.ballard.net/,resume_43.pdf
44,Scott Zhang,(025)405-8693,elizabethanderson@lewis.info,Other,36,M.Sc,Python,Ahmedabad,On-Site,"SQL, Flask, Angular",1 year,AI Engineer,https://hernandez.com/,https://kemp.org/,resume_44.pdf
45,Frank Rowland,(974)139-9657,marypadilla@casey-wilson.com,Other,23,B.Tech,Machine Learning,Kolkata,On-Site,"AWS, Kubernetes, Docker",5+ years,AI Engineer,http://www.roberson.com/,https://www.schmidt-miles.com/,resume_45.pdf
46,Tammy Hansen,+1-626-812-4449x737,stephanie90@zimmerman.com,Other,44,Diploma,Cloud Computing,Chennai,Remote,"React, AWS, Kubernetes",1 year,System Analyst,https://www.atkinson.biz/,https://www.burke-espinoza.com/,resume_46.pdf
47,Nichole Martin,971.563.6310x32404,michaelahughes@sanders.com,Female,24,M.Sc,Machine Learning,Hyderabad,On-Site,"SQL, TensorFlow, Django",5+ years,System Analyst,https://payne.com/,https://www.collins.com/,resume_47.pdf
48,Janice Mcdonald,001-224-927-6188x474,wyatt15@yahoo.com,Female,26,Diploma,C++,Pune,Hybrid,"Flask, React, TensorFlow",2 years,System Analyst,http://pearson-nicholson.net/,https://love-wheeler.biz/,resume_48.pdf
49,Timothy Schroeder,491.913.0763x80118,madelineherrera@hotmail.com,Other,39,B.Sc,C++,Delhi,Remote,"Django, Flask, AWS",Fresher,System Analyst,http://lee.com/,https://wagner.com/,resume_49.pdf
50,Jennifer Greer,001-224-724-4028,hwolfe@hotmail.com,Other,36,M.Sc,JavaScript,Kolkata,On-Site,"Angular, React, AWS",3 years,Data Scientist,http://allen.com/,https://www.garcia.net/,resume_50.pdf
51,Leonard Horn,088-216-6371x826,ryanbennett@gonzales-lopez.com,Male,28,M.Tech,JavaScript,Ahmedabad,Hybrid,"React, Docker, Kubernetes",2 years,Software Engineer,https://austin.net/,https://williams-jones.com/,resume_51.pdf
52,Amy Rodriguez,001-600-917-2038x7130,lucasmiles@yahoo.com,Other,22,M.Tech,Cloud Computing,Kolkata,Hybrid,"TensorFlow, React, Angular",3 years,Software Engineer,https://robertson.com/,https://duncan.net/,resume_52.pdf
